,name,discription
0,"                    1, 2-Hexanediol                ","A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing. See preservativesReferences for this information:International Journal of Toxicology, September-October 2012, pages 147S-168SInternational Journal of Cosmetic Science, October 2011, pages 421-425Cutaneous and Ocular Toxicology, Volume 28, 2009, pages 23-24"
1,                    10-Hydroxydecanoic Acid                ,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
2,                    4-T-butylcyclohexanol                ,"A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.References for this information:Journal of the European Academy of Dermatology and Venereology, February 2016, pages 9-16; and Volume 30 Supplement, pages 21-27Experimental Dermatology, November 2010, pages 980-986."
3,                    Acacia farnesiana extract                ,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.
4,                    acacia senegal gum                ,"Herb that can have skin soothing properties, but is used primarily as a thickening agent."
5,                    acai                ,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, açai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant—just one of many to choose from when it comes to your skincare products.References for this information:Journal of Drugs in Dermatology, June 2010, pages 72-81Journal of Agricultural and Food Chemistry, November 2006, pages 8604-8610"
6,                    acerola fruit extract                ,"Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good source of vitamin C because much of the vitamin C is destroyed during the drying and processing."
7,                    acetic acid                ,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties."
8,                    acetone                ,Strong solvent that is used in nail polish removers.
9,                    acetylated castor oil                ,Used as an emollient and thickening agent in cosmetics.
10,                    acetylated hydrogenated cottonseed glyceride                ,Used as an emollient and thickening agent in cosmetics.
11,                    acetylated lanolin                ,Emollient derived from lanolin.
12,                    acetylated lanolin alcohol                ,"An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed from an alcohol and an acid with the elimination of water, and are common among cosmetic ingredients."
13,                    acetylated palm kernel glycerides                ,Used as an emollient and thickening agent in cosmetics.
14,                    acetyl carnitine HCL                ,
15,                    acetyl glucosamine                ,"Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid. Acetyl glucosamine is a skin-replenishing ingredient that can have considerable value in cosmetic products aimed at diminishing signs of aging.In terms of this ingredient prompting exfoliation, the research that exists was performed by Proctor & Gamble and by Estee Lauder, and both companies sell skincare products that contain acetyl glucosamine. Acetyl glucosamine also has research demonstrating that it can have skin-brightening benefits, particularly when combined with the B vitamin, niacinamide. Most of the research concerning acetyl glucosamine’s effect on uneven skin tone is from Procter & Gamble, as their Olay brand uses acetyl glucosamine in select products. Still, the research is compelling and the protocols are sound, so it can be applied to other formularies that utilize this ingredient.References for this information:International Journal of Cosmetic Science, October 2013, pages 472-476British Journal of Dermatology, February 2010, pages 435-441Journal of Cosmetic Science, July-August 2009, pages 423-428Journal of Cosmetic Dermatology, March 2007, pages 20-26; and December 2006, pages 309-315"
16,                    acetyl glyceryl ricinoleate                ,Used as an emollient and thickening agent in cosmetics.
17,                    acetyl hexapeptide-8                ,"Acetyl hexapeptide-8 is a synthetically derived peptide that is used in a wide range of skincare and makeup products.  Despite claims being made for acetyl hexapeptide-8 (argireline), there is a clinical study revealing that this ingredient is not even remotely as effective as dermatological procedures in reducing signs of aging.  Other studies on topical use of a moisturizer containing a 10% concentration of acetyl hexapeptide-8 have shown it does not penetrate beyond the uppermost layers of skin, even after several hours. That means it cannot affect factors in the underlying layers that lead to the formation of expression lines.   On the other hand, research has shown this peptide can penetrate further into skin if specific formulary steps are followed, including the type of emulsion (a higher water content showed greater penetration). However, even then the peptide wasn’t showing results equivalent to cosmetic corrective procedures.   Still, like all peptides, acetyl hexapeptide-8 has water-binding properties and skin-restoring ability. It’s not a throwaway ingredient, but neither is it as miraculous as the manufacturer would lead you to believe.  References for this information: Cutaneous and Ocular Toxicology, March 2015, pages 46-52 European Journal of Pharmaceutical Sciences, February 2015, pages 27-35 Dermatologic Therapy, September-October 2007, issue 5, pages 343-349 International Journal of Cosmetic Science, October 2002, issue 5, pages 303-310"
18,                    acetyl octapeptide-3                ,"Synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine. Also known as SNAP-8, this peptide is said to improve the look of signs of aging formed from repetitive facial expressions, though there’s no independent research supporting this claim.   Even if there were independent research, the concentrations used in the company-sponsored testing to support the improvement of signs of aging was 3–10%, which is far greater than what’s typically present in skincare products. Like all peptides it has water-binding properties and theoretical skin-restoring ability. It may play a role in helping skin look  younger, and can help hydrate and smooth skin."
19,                    acetyl tetrapeptide-5                ,"A synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin. Its calming properties are believed to reduce undereye puffiness due to fluid accumulation, such as from allergies (which is not the same as undereye bags that occur from fat pads beneath the skin slipping out of place).This peptide is also believed to interrupt a process in skin known as glycation, which can cause skin’s supportive elements to weaken, giving way to wrinkles and loss of firmness. Acetyl tetrapeptide-5 seems to step in and help skin maintain a smooth resilience that results in a more youthful look.References for this information:Cosmetics, May 2017, pages 2-13Clinics in Dermatology, September-October 2009, pages 485-494."
20,                    acetyl tributyl citrate                ,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening products."
21,                    acetyl tyrosine                ,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it has a restoring or brightening effect on skin.
22,                    Achillea millefolium                ,
23,                    acid                ,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH of 7. Skin has an average pH of 5.5
24,                    acne soap                ,"Soaps that often contain strong cleansing ingredients, they are often overly drying and sensitizing to skin."
25,                    acrylate                ,
