,name,link,category,rating
0,"                    1, 2-Hexanediol                ",https://www.paulaschoice.com/ingredient-dictionary/preservatives/1%2C-2-hexanediol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good
1,                    10-Hydroxydecanoic Acid                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/10-hydroxydecanoic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good
2,                    4-T-butylcyclohexanol                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/4-T-butylcyclohexanol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Soothing']",Good
3,                    Acacia farnesiana extract                ,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/acacia-farnesiana-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor
4,                    acacia senegal gum                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acacia-senegal-gum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Plant Extracts', 'Skin-Soothing']",Good
5,                    acai                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acai.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best
6,                    acerola fruit extract                ,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/acerola-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Good
7,                    acetic acid                ,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor
8,                    acetone                ,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor
9,                    acetylated castor oil                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-castor-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
10,                    acetylated hydrogenated cottonseed glyceride                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-hydrogenated-cottonseed-glyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
11,                    acetylated lanolin                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good
12,                    acetylated lanolin alcohol                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good
13,                    acetylated palm kernel glycerides                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-palm-kernel-glycerides.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
14,                    acetyl carnitine HCL                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acetyl-carnitine-hcl.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Best
15,                    acetyl glucosamine                ,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/acetyl-glucosamine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Replenishing'],Best
16,                    acetyl glyceryl ricinoleate                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetyl-glyceryl-ricinoleate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
17,                    acetyl hexapeptide-8                ,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-8.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Good
18,                    acetyl octapeptide-3                ,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-octapeptide-3.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Good
19,                    acetyl tetrapeptide-5                ,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-tetrapeptide-5.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best
20,                    acetyl tributyl citrate                ,https://www.paulaschoice.com/ingredient-dictionary/film-forming-holding-agents/acetyl-tributyl-citrate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Film-Forming/Holding Agents'],Average
21,                    acetyl tyrosine                ,https://www.paulaschoice.com/ingredient-dictionary/hydration/acetyl-tyrosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Hydration'],Good
22,                    Achillea millefolium                ,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/achillea-millefolium.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Poor
23,                    acid                ,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Average
24,                    acne soap                ,https://www.paulaschoice.com/ingredient-dictionary/cleansing-agents/acne-soap.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Cleansing Agents'],Poor
25,                    acrylate                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
26,                    acrylates/C10-30 alkyl acrylate crosspolymer                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fc10-30-alkyl-acrylate-crosspolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
27,                    acrylates/dimethicone copolymer                ,https://www.paulaschoice.com/ingredient-dictionary/silicones/acrylates%2Fdimethicone-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Texture Enhancer']",Good
28,                    acrylates/steareth-20 methacrylate copolymer                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates%2Fsteareth-20-methacrylate-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
29,                    acrylates copolymer                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acrylates-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
30,                    Actaea racemosa                ,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/actaea-racemosa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average
31,                    Actinidia chinensis (kiwi fruit) extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/actinidia-chinensis-kiwi-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best
32,                    adenosine                ,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",Best
33,                    adenosine phosphate                ,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/adenosine-phosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Restoring', 'Skin-Soothing']",Best
34,                    adenosine triphosphate                ,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/adenosine-triphosphate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Skin-Restoring']",Best
35,                    adipic acid/neopentyl glycol/trimellitic anhydride copolymer                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/adipic-acid%2Fneopentyl-glycol%2Ftrimellitic-anhydride-copolymer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
36,                    advanced glycation endproduct (AGE)                ,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/advanced-glycation-endproduct.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Poor
37,                    Aerocarpus santalinus                ,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/aerocarpus-santalinus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor
38,                    Aesculus hippocastanum                ,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/aesculus-hippocastanum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Good
39,                    agar                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agar.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Emollients', 'Texture Enhancer']",Good
40,                    AGE                ,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/age.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Poor
41,                    Agrimonia eupatoria leaf extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/agrimonia-eupatoria-leaf-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average
42,                    AHA                ,https://www.paulaschoice.com/ingredient-dictionary/exfoliant/aha.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Exfoliant'],Best
43,                    Ahnfeltia concinna extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Plant Extracts', 'Emollients']",Good
44,                    ahnfeltia extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/ahnfeltia-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",Good
45,                    Ahnfeltiopsis concinna extract                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/ahnfeltiopsis-concinna-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Antioxidants', 'Plant Extracts', 'Texture Enhancer']",Good
46,                    alanine                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alanine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Good
47,                    Alaria esculenta                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alaria-esculenta.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Plant Extracts', 'Texture Enhancer']",Good
48,                    albumin                ,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/albumin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Poor
49,                    alcloxa                ,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/alcloxa.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Poor
50,                    alcohol                ,https://www.paulaschoice.com/ingredient-dictionary/emollients/alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Cleansing Agents']",Average
51,                    Aleurites moluccana seed oil                ,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/aleurites-moluccana-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Antioxidants']",Best
52,                    alfalfa extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/alfalfa-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best
53,                    algae                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/algae.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",Good
54,                    algae extract                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/algae-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Plant Extracts']",Good
55,                    algin                ,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/algin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']",Good
