product_links,product_names,product_category,brand,ingredient,size,price,claims,image_path
https://www.beautypedia.com/products/brow-zings/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Zings,Eyebrow,Benefit,,,32.00,,images/makeup/Brow-Zings_Benefit.jpg
https://www.beautypedia.com/products/micro-brow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Micro Brow Pencil,Eyebrow,NYX Cosmetics,"Polyethylene,  C12-15 Alkyl Ethylhexanoate,  Hydrogenated Coco-Glycerides,  Ozokerite,  Polyglyceryl-2 Triisostearate,  C20-40 Alcohols,  Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire de Candelilla,  Zinc Stearate,  Microcrystalline Wax/Cera Microcristallina/Cire Microcrystalline,  Dimethicone,  Sorbitan Tristearate,  Tocopheryl Acetate,  Glyceryl Caprylate. May Contain: Mica,  Titanium Dioxide (CI 77891),  Iron Oxides (CI 77491,  77492,  77499),  Ferric Ammonium Ferrocyanide (CI 77510).",,10.00,Build full beautiful brows with our ultra-thin Micro Brow Pencil. So precise it coats even the finest hairs with color for a natural-looking finish.,images/makeup/Micro-Brow-Pencil_NYX-Cosmetics.jpg
https://www.beautypedia.com/products/natural-brow-shaper/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Natural Brow Shaper,Eyebrow,Bobbi Brown,,,22.00,,images/makeup/Natural-Brow-Shaper_Bobbi-Brown.jpg
https://www.beautypedia.com/products/bc-color-brow-perfecting-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,BC Color Brow Perfecting Pencil,Eyebrow,BeautiControl,,,12.00,,images/makeup/BC-Color-Brow-Perfecting-Pencil_BeautiControl.jpg
https://www.beautypedia.com/products/bombshell-pow-der-brow-liner/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Bombshell Pow-Der Brow + Liner,Eyebrow,CoverGirl,"Boron Nitride,  Dimethicone,  Silica,  Polyethylene,  Pentylene Glycol,  Pumice,  Kaolin,  Dimethiconol,  Phenoxyethanol,  Ethylhexylglycerin,  Dehydroacetic Acid,  Copernicia Cerifera (Carnauba) Wax/Cire de Carnauba. May Contain: Titanium Dioxide,  Iron Oxides,  Mica.",0.02 fl. oz.,11.99,"This versatile 2-in-1 brow liner& soft eyebrow powder defines and brings a sexy smolder to eyes and brows. Go from subtle to dramatic with these rich, buildable color pigments.",images/makeup/Bombshell-Pow-Der-Brow-+-Liner_CoverGirl.jpg
https://www.beautypedia.com/products/superfine-liner-for-brows/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Superfine Liner for Brows,Eyebrow,Clinique,,,15.00,,images/makeup/Superfine-Liner-for-Brows_Clinique.jpg
https://www.beautypedia.com/products/eye-brow-pencils/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Eye Brow Pencils,Eyebrow,M.A.C.,,,17.00,,images/makeup/Eye-Brow-Pencils_M.A.C..jpg
https://www.beautypedia.com/products/brow-stylist-frame-set-cream-pomade/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Stylist Frame & Set Cream Pomade,Eyebrow,L'Oreal Paris,"Cyclopentasiloxane,  Ceresin,  Silica,  Trimethylsiloxysilicate,  Isododecane,  Cyclohexasiloxane,  Talc,  Caprylyl Methicone,  Silica Silylate,  Disteardimonium Hectorite,  Triethoxycaprylylsilane,  Propylene Carbonate. May Contain: Iron Oxides,  Titanium Dioxide,  Mica",0.08 fl. oz.,12.99,"LOral Paris presents Brow Stylist Frame & Set , our 1st cream brow pomade with makeup designer brush and blending spoolie. Lightweight brow makeup formula easily glides onto skin and brow hairs to frame and set your brow look. Makeup designer brush draws in individual hairs, precisely shapes arches, and fills in eyebrows for a naturally defined and styled look that stays put up to 24 hours.",images/makeup/Brow-Stylist-Frame-&-Set-Cream-Pomade_L'Oreal-Paris.jpg
https://www.beautypedia.com/products/brow-set/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,Brow Set,Eyebrow,M.A.C.,,,17.00,,images/makeup/Brow-Set_M.A.C..jpg
https://www.beautypedia.com/products/tattoostudio-waterproof-brow-gel/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews ,TattooStudio Waterproof Brow Gel,Eyebrow,Maybelline New York,"Water,  Isododecane,  Polymethylsilsesquioxane,  Trimethylsiloxysilicate,  PEG-10 Dimethicone,  Butylene Glycol,  Silica,  Disteardimonium Hectorite,  PEG-30 Dipolyhydroxystearate,  Glycerin,  Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,  Phenoxyethanol,  Caprylyl Glycol,  Triethoxycaprylylsilane,  Ethylhexylglycerin,  Glyceryl Polyacrylate,  Polyhydroxystearic Acid,  Sorbic Acid,  Galactoarabinan,  Tocopheryl Acetate,  Tocopherol. May Contain: CI 77491,  CI 77492,  CI 77499 / Iron Oxides,  CI 77891 / Titanium Dioxide.",0.23 fl. oz.,12.99,Fill and color your eyebrows with this ultra-resistant Maybelline TattooStudio Waterproof Eyebrow Gel. The sculpting tip and eyebrow spoolie work together to create fuller-looking brows that last for days. Does not smudge. Does not transfer.,images/makeup/TattooStudio-Waterproof-Brow-Gel_Maybelline-New-York.jpg
